CPU_Usage,Memory_Usage,Network_IO,Status
9.44E-06,106.5816552,4.703080327,0
1.15E-05,130.0939136,5.789561988,0
1.36E-05,153.606172,6.876043649,0
1.57E-05,177.1184304,8.341593165,0
1.23E-05,95.13658586,9.453422006,0
1.38E-05,106.1613863,10.56525085,0
1.52E-05,117.1861867,11.2579426,0
1.49E-05,85.53826599,12.32905989,0
1.62E-05,92.89450856,13.40017718,0
1.83E-05,89.61938019,15.8397923,0
1.83E-05,89.61938019,15.8397923,0
1.83E-05,89.61938019,15.8397923,0
1.18E-05,0,15.51422615,0
1.47E-05,0,15.51422615,0
1.47E-05,0,15.51422615,0
1.33E-05,0,14.96562635,0
1.33E-05,0,12.1526358,0
1.33E-05,0,12.1526358,0
2.98E-05,811.017117,11.26031879,0
3.39E-05,1027.694384,13.27435463,0
3.39E-05,1027.694384,13.27435463,0
8.02E-05,1916.4419,24.88139471,0
9.16E-05,2248.44199,24.88139471,0
9.16E-05,2248.44199,24.88139471,0
1.00E-04,2396.682581,25.1105026,0
1.00E-04,2396.682581,25.1105026,0
1.00E-04,2396.682581,25.1105026,0
9.34E-05,2229.531543,24.48444444,0
0.000111626,2692.798134,32.73032136,1
0.000111626,2692.798134,32.73032136,1
9.63E-05,1830.52821,32.906108,0
9.63E-05,1830.52821,36.18123259,0
9.63E-05,1830.52821,36.18123259,0
3.53E-05,533.7705194,30.83752343,0
3.53E-05,533.7705194,22.58953647,0
3.53E-05,533.7705194,22.58953647,0
3.91E-05,53842.17981,22.67482693,0
3.91E-05,53842.17981,22.67482693,0
3.91E-05,53842.17981,22.67482693,0
2.58E-05,60372.01582,22.76883997,0
6.99E-05,50546.0736,22.76883997,0
6.99E-05,50546.0736,22.76883997,0
6.83E-05,53559.34993,20.26236374,0
6.83E-05,53559.34993,17.50583116,0
6.83E-05,53559.34993,17.50583116,0
6.68E-05,51088.64651,18.5272426,0
6.68E-05,51088.64651,18.5272426,0
6.68E-05,51088.64651,18.5272426,0
6.23E-05,1657.641774,19.29217071,0
6.23E-05,1657.641774,21.89899911,0
6.23E-05,1657.641774,21.89899911,0
1.51E-05,0,19.22250905,0
2.14E-05,0,19.22250905,0
2.14E-05,0,19.22250905,0
2.14E-05,0,18.66842888,0
2.06E-05,0,18.66842888,0
2.06E-05,0,18.66842888,0
2.20E-05,0,19.61217658,0
2.20E-05,0,19.61217658,0
2.20E-05,0,19.61217658,0
1.98E-05,0,14.10172143,0
1.98E-05,0,15.9330308,0
1.98E-05,0,15.9330308,0
2.19E-05,52888.21217,18.29998114,0
2.19E-05,52888.21217,17.33839552,0
2.19E-05,52888.21217,17.33839552,0
2.38E-05,44073.15255,21.94525819,0
2.68E-05,55992.09756,21.94525819,0
2.68E-05,55992.09756,21.94525819,0
2.49E-05,41624.21322,19.80975344,0
2.65E-05,50290.64861,22.94308005,0
2.65E-05,50290.64861,22.94308005,0
